Tempo,Controle(u),PosX(x),PosY(y),Orientacao(theta)
0.000000,1.000000,0.010000,0.000000,0.010000
0.010000,1.000000,0.020000,0.000100,0.020000
0.020000,1.000000,0.029998,0.000300,0.030000
0.030000,1.000000,0.039993,0.000600,0.040000
0.040000,1.000000,0.049985,0.001000,0.050000
0.050000,1.000000,0.059973,0.001500,0.060000
0.060000,1.000000,0.069955,0.002099,0.070000
0.070000,1.000000,0.079930,0.002799,0.080000
0.080000,1.000000,0.089898,0.003598,0.090000
0.090000,1.000000,0.099858,0.004497,0.100000
0.100000,1.000000,0.109808,0.005495,0.110000
0.110000,1.000000,0.119747,0.006593,0.120000
0.120000,1.000000,0.129675,0.007790,0.130000
0.130000,1.000000,0.139591,0.009086,0.140000
0.140000,1.000000,0.149493,0.010482,0.150000
0.150000,1.000000,0.159381,0.011976,0.160000
0.160000,1.000000,0.169253,0.013569,0.170000
0.170000,1.000000,0.179109,0.015261,0.180000
0.180000,1.000000,0.188947,0.017051,0.190000
0.190000,1.000000,0.198767,0.018940,0.200000
0.200000,1.000000,0.208568,0.020927,0.210000
0.210000,1.000000,0.218348,0.023011,0.220000
0.220000,1.000000,0.228107,0.025193,0.230000
0.230000,1.000000,0.237844,0.027473,0.240000
0.240000,1.000000,0.247557,0.029850,0.250000
0.250000,1.000000,0.257246,0.032324,0.260000
0.260000,1.000000,0.266910,0.034895,0.270000
0.270000,1.000000,0.276548,0.037562,0.280000
0.280000,1.000000,0.286159,0.040326,0.290000
0.290000,1.000000,0.295741,0.043186,0.300000
0.300000,1.000000,0.305294,0.046141,0.310000
0.310000,1.000000,0.314818,0.049191,0.320000
0.320000,1.000000,0.324310,0.052337,0.330000
0.330000,1.000000,0.333771,0.055577,0.340000
0.340000,1.000000,0.343198,0.058912,0.350000
0.350000,1.000000,0.352592,0.062341,0.360000
0.360000,1.000000,0.361951,0.065864,0.370000
0.370000,1.000000,0.371274,0.069480,0.380000
0.380000,1.000000,0.380561,0.073189,0.390000
0.390000,1.000000,0.389810,0.076991,0.400000
0.400000,1.000000,0.399020,0.080885,0.410000
0.410000,1.000000,0.408192,0.084872,0.420000
0.420000,1.000000,0.417322,0.088949,0.430000
0.430000,1.000000,0.426412,0.093118,0.440000
0.440000,1.000000,0.435460,0.097377,0.450000
