Tempo,VelLinear(v),VelAngular(w),PosX_Frente(x),PosY_Frente(y)
0.000000,1.000000,0.628319,0.150000,0.000000
0.030000,1.000000,0.628319,0.150000,0.000000
0.060000,1.000000,0.628319,0.199926,0.004712
0.090000,1.000000,0.628319,0.199926,0.004712
0.120000,1.000000,0.628319,0.249679,0.010989
0.150000,1.000000,0.628319,0.299211,0.018826
0.180000,1.000000,0.628319,0.299211,0.018826
0.210000,1.000000,0.628319,0.348472,0.028215
0.240000,1.000000,0.628319,0.348472,0.028215
0.270000,1.000000,0.628319,0.397414,0.039147
0.300000,1.000000,0.628319,0.445988,0.051611
0.330000,1.000000,0.628319,0.445988,0.051611
0.360000,1.000000,0.628319,0.494147,0.065594
0.390000,1.000000,0.628319,0.494147,0.065594
0.420000,1.000000,0.628319,0.541843,0.081084
0.450000,1.000000,0.628319,0.589028,0.098063
0.480000,1.000000,0.628319,0.589028,0.098063
0.510000,1.000000,0.628319,0.635657,0.116517
0.540000,1.000000,0.628319,0.635657,0.116517
0.570000,1.000000,0.628319,0.681684,0.136426
0.600000,1.000000,0.628319,0.727062,0.157771
0.630000,1.000000,0.628319,0.727062,0.157771
0.660000,1.000000,0.628319,0.771748,0.180530
0.690000,1.000000,0.628319,0.771748,0.180530
0.720000,1.000000,0.628319,0.815696,0.204682
0.750000,1.000000,0.628319,0.858865,0.230203
0.780000,1.000000,0.628319,0.858865,0.230203
0.810000,1.000000,0.628319,0.901210,0.257067
0.840000,1.000000,0.628319,0.901210,0.257067
0.870000,1.000000,0.628319,0.942691,0.285248
0.900000,1.000000,0.628319,0.983266,0.314718
0.930000,1.000000,0.628319,0.983266,0.314718
0.960000,1.000000,0.628319,1.022895,0.345448
0.990000,1.000000,0.628319,1.022895,0.345448
1.020000,1.000000,0.628319,1.061539,0.377407
1.050000,1.000000,0.628319,1.099161,0.410565
1.080000,1.000000,0.628319,1.099161,0.410565
1.110000,1.000000,0.628319,1.135723,0.444887
1.140000,1.000000,0.628319,1.135723,0.444887
1.170000,1.000000,0.628319,1.171188,0.480342
1.200000,1.000000,0.628319,1.205522,0.516893
1.230000,1.000000,0.628319,1.205522,0.516893
1.260000,1.000000,0.628319,1.238691,0.554504
1.290000,1.000000,0.628319,1.238691,0.554504
1.320000,1.000000,0.628319,1.270663,0.593139
1.350000,1.000000,0.628319,1.301405,0.632758
1.380000,1.000000,0.628319,1.301405,0.632758
1.410000,1.000000,0.628319,1.330887,0.673324
1.440000,1.000000,0.628319,1.330887,0.673324
1.470000,1.000000,0.628319,1.359081,0.714796
1.500000,1.000000,0.628319,1.385958,0.757133
1.530000,1.000000,0.628319,1.385958,0.757133
1.560000,1.000000,0.628319,1.411492,0.800294
1.590000,1.000000,0.628319,1.411492,0.800294
1.620000,1.000000,0.628319,1.435657,0.844235
1.650000,1.000000,0.628319,1.458431,0.888913
1.680000,1.000000,0.628319,1.458431,0.888913
1.710000,1.000000,0.628319,1.479790,0.934285
1.740000,1.000000,0.628319,1.479790,0.934285
1.770000,1.000000,0.628319,1.499713,0.980305
1.800000,1.000000,0.628319,1.518181,1.026929
1.830000,1.000000,0.628319,1.518181,1.026929
1.860000,1.000000,0.628319,1.535175,1.074109
1.890000,1.000000,0.628319,1.535175,1.074109
1.920000,1.000000,0.628319,1.550679,1.121800
1.950000,1.000000,0.628319,1.564677,1.169955
1.980000,1.000000,0.628319,1.564677,1.169955
2.010000,1.000000,0.628319,1.577156,1.218525
2.040000,1.000000,0.628319,1.577156,1.218525
2.070000,1.000000,0.628319,1.588103,1.267464
2.100000,1.000000,0.628319,1.597507,1.316722
2.130000,1.000000,0.628319,1.597507,1.316722
2.160000,1.000000,0.628319,1.605360,1.366251
2.190000,1.000000,0.628319,1.605360,1.366251
2.220000,1.000000,0.628319,1.611653,1.416002
2.250000,1.000000,0.628319,1.616380,1.465927
2.280000,1.000000,0.628319,1.616380,1.465927
2.310000,1.000000,0.628319,1.619536,1.515975
2.340000,1.000000,0.628319,1.619536,1.515975
2.370000,1.000000,0.628319,1.621119,1.566098
2.400000,1.000000,0.628319,1.621127,1.616246
2.430000,1.000000,0.628319,1.621127,1.616246
2.460000,1.000000,0.628319,1.619560,1.666369
2.490000,1.000000,0.628319,1.619560,1.666369
2.520000,1.000000,0.628319,1.616419,1.716419
2.550000,1.000000,0.628319,1.611707,1.766345
2.580000,1.000000,0.628319,1.611707,1.766345
2.610000,1.000000,0.628319,1.605429,1.816098
2.640000,1.000000,0.628319,1.605429,1.816098
2.670000,1.000000,0.628319,1.597592,1.865629
2.700000,1.000000,0.628319,1.588203,1.914890
2.730000,1.000000,0.628319,1.588203,1.914890
2.760000,1.000000,0.628319,1.577271,1.963832
2.790000,1.000000,0.628319,1.577271,1.963832
2.820000,1.000000,0.628319,1.564807,2.012407
2.850000,1.000000,0.628319,1.550824,2.060565
2.880000,1.000000,0.628319,1.550824,2.060565
2.910000,1.000000,0.628319,1.535335,2.108261
2.940000,1.000000,0.628319,1.535335,2.108261
2.970000,1.000000,0.628319,1.518355,2.155447
3.000000,1.000000,0.628319,1.499902,2.202076
3.030000,1.000000,0.628319,1.499902,2.202076
3.060000,1.000000,0.628319,1.479993,2.248102
3.090000,1.000000,0.628319,1.479993,2.248102
3.120000,1.000000,0.628319,1.458648,2.293481
3.150000,1.000000,0.628319,1.435888,2.338166
3.180000,1.000000,0.628319,1.435888,2.338166
3.210000,1.000000,0.628319,1.411736,2.382115
3.240000,1.000000,0.628319,1.411736,2.382115
3.270000,1.000000,0.628319,1.386215,2.425283
3.300000,1.000000,0.628319,1.359351,2.467629
3.330000,1.000000,0.628319,1.359351,2.467629
3.360000,1.000000,0.628319,1.331171,2.509109
3.390000,1.000000,0.628319,1.331171,2.509109
3.420000,1.000000,0.628319,1.301701,2.549684
3.450000,1.000000,0.628319,1.270971,2.589314
3.480000,1.000000,0.628319,1.270971,2.589314
3.510000,1.000000,0.628319,1.239011,2.627958
3.540000,1.000000,0.628319,1.239011,2.627958
3.570000,1.000000,0.628319,1.205854,2.665580
3.600000,1.000000,0.628319,1.171531,2.702141
3.630000,1.000000,0.628319,1.171531,2.702141
3.660000,1.000000,0.628319,1.136077,2.737606
3.690000,1.000000,0.628319,1.136077,2.737606
3.720000,1.000000,0.628319,1.099526,2.771941
3.750000,1.000000,0.628319,1.061914,2.805110
3.780000,1.000000,0.628319,1.061914,2.805110
3.810000,1.000000,0.628319,1.023280,2.837081
3.840000,1.000000,0.628319,1.023280,2.837081
3.870000,1.000000,0.628319,0.983660,2.867823
