seno,cosseno,angulo
0.00000,0.00000,0.00045
0.00000,0.00000,0.00225
0.00162,0.04998,0.00405
0.00000,0.00000,0.00585
0.00487,0.05060,0.00765
0.00487,0.05060,0.00945
0.00000,0.00000,0.01125
0.00809,0.05109,0.01305
0.00000,0.00000,0.01485
0.01129,0.05144,0.01665
0.01129,0.05144,0.01845
0.00000,0.00000,0.02025
0.01443,0.05164,0.02205
0.01443,0.05164,0.02385
0.00000,0.00000,0.02565
0.01752,0.05169,0.02745
0.00000,0.00000,0.02925
0.02054,0.05158,0.03105
0.02054,0.05158,0.03285
0.00000,0.00000,0.03465
0.02347,0.05131,0.03645
0.02347,0.05131,0.03825
0.00000,0.00000,0.04005
0.02631,0.05087,0.04185
0.00000,0.00000,0.04365
0.02904,0.05026,0.04545
0.02904,0.05026,0.04725
0.00000,0.00000,0.04905
0.03166,0.04948,0.05085
0.03166,0.04948,0.05265
0.00000,0.00000,0.05445
0.03414,0.04853,0.05625
0.00000,0.00000,0.05805
0.03649,0.04741,0.05985
0.03649,0.04741,0.06165
0.00000,0.00000,0.06345
0.03870,0.04612,0.06525
0.03870,0.04612,0.06705
0.00000,0.00000,0.06885
0.04076,0.04465,0.07065
0.00000,0.00000,0.07245
0.04266,0.04302,0.07425
0.04266,0.04302,0.07605
0.00000,0.00000,0.07785
0.04440,0.04123,0.07965
0.04440,0.04123,0.08145
0.00000,0.00000,0.08325
0.04597,0.03927,0.08505
0.00000,0.00000,0.08685
0.04737,0.03716,0.08865
0.04737,0.03716,0.09045
0.00000,0.00000,0.09225
0.04860,0.03490,0.09405
0.04860,0.03490,0.09585
0.00000,0.00000,0.09765
0.04966,0.03250,0.09945
0.00000,0.00000,0.10125
0.05054,0.02997,0.10305
0.05054,0.02997,0.10485
0.00000,0.00000,0.10665
0.05125,0.02732,0.10845
0.05125,0.02732,0.11025
0.00000,0.00000,0.11205
0.05178,0.02455,0.11385
0.00000,0.00000,0.11565
0.05215,0.02168,0.11745
0.05215,0.02168,0.11925
0.00000,0.00000,0.12105
0.05235,0.01872,0.12285
0.05235,0.01872,0.12465
0.00000,0.00000,0.12645
0.05238,0.01568,0.12825
0.00000,0.00000,0.13005
0.05226,0.01257,0.13185
0.05226,0.01257,0.13365
0.00000,0.00000,0.13545
0.05199,0.00941,0.13725
0.05199,0.00941,0.13905
0.00000,0.00000,0.14085
0.05156,0.00621,0.14265
0.00000,0.00000,0.14445
0.05100,0.00297,0.14625
0.05100,0.00297,0.14805
0.00000,0.00000,0.14985
0.05031,-0.00027,0.15165
0.05031,-0.00027,0.15345
0.00000,0.00000,0.15525
0.04948,-0.00352,0.15705
0.00000,0.00000,0.15885
0.04854,-0.00676,0.16065
0.04854,-0.00676,0.16245
0.00000,0.00000,0.16425
0.04749,-0.00996,0.16605
0.04749,-0.00996,0.16785
0.00000,0.00000,0.16965
0.04634,-0.01313,0.17145
0.00000,0.00000,0.17325
0.04509,-0.01625,0.17505
0.04509,-0.01625,0.17685
0.00000,0.00000,0.17865
0.04376,-0.01929,0.18045
0.04376,-0.01929,0.18225
0.00000,0.00000,0.18405
0.04234,-0.02226,0.18585
0.00000,0.00000,0.18765
0.04086,-0.02514,0.18945
0.04086,-0.02514,0.19125
0.00000,0.00000,0.19305
0.03932,-0.02792,0.19485
0.03932,-0.02792,0.19665
0.00000,0.00000,0.19845
0.03772,-0.03058,0.20025
0.00000,0.00000,0.20205
0.03607,-0.03312,0.20385
0.03607,-0.03312,0.20565
0.00000,0.00000,0.20745
0.03439,-0.03553,0.20925
0.00000,0.00000,0.21105
0.03267,-0.03780,0.21285
0.03267,-0.03780,0.21465
0.00000,0.00000,0.21645
0.03092,-0.03992,0.21825
0.03092,-0.03992,0.22005
0.00000,0.00000,0.22185
0.02915,-0.04189,0.22365
0.00000,0.00000,0.22545
0.02737,-0.04370,0.22725
0.02737,-0.04370,0.22905
0.00000,0.00000,0.23085
0.02557,-0.04534,0.23265
0.02557,-0.04534,0.23445
0.00000,0.00000,0.23625
0.02377,-0.04681,0.23805
0.00000,0.00000,0.23985
0.02196,-0.04811,0.24165
0.02196,-0.04811,0.24345
0.00000,0.00000,0.24525
0.02015,-0.04924,0.24705
0.02015,-0.04924,0.24885
0.00000,0.00000,0.25065
0.01835,-0.05019,0.25245
0.00000,0.00000,0.25425
0.01654,-0.05097,0.25605
0.01654,-0.05097,0.25785
0.00000,0.00000,0.25965
0.01474,-0.05158,0.26145
0.01474,-0.05158,0.26325
0.00000,0.00000,0.26505
0.01295,-0.05202,0.26685
0.00000,0.00000,0.26865
0.01117,-0.05228,0.27045
0.01117,-0.05228,0.27225
0.00000,0.00000,0.27405
0.00939,-0.05239,0.27585
0.00939,-0.05239,0.27765
0.00000,0.00000,0.27945
0.00761,-0.05233,0.28125
0.00000,0.00000,0.28305
0.00585,-0.05212,0.28485
0.00585,-0.05212,0.28665
0.00000,0.00000,0.28845
0.00409,-0.05176,0.29025
0.00409,-0.05176,0.29205
0.00000,0.00000,0.29385
0.00233,-0.05125,0.29565
0.00000,0.00000,0.29745
0.00058,-0.05061,0.29925
0.00058,-0.05061,-0.18916
0.00000,0.00000,-0.19029
-0.00117,-0.04984,-0.19142
-0.00117,-0.04984,-0.19255
0.00000,0.00000,-0.19368
-0.00292,-0.04895,-0.19481
0.00000,0.00000,-0.19594
-0.00467,-0.04794,-0.19707
-0.00467,-0.04794,-0.19820
0.00000,0.00000,-0.19933
-0.00642,-0.04683,-0.20047
-0.00642,-0.04683,-0.20160
0.00000,0.00000,-0.20273
-0.00817,-0.04562,-0.20386
0.00000,0.00000,-0.20499
-0.00993,-0.04432,-0.20612
-0.00993,-0.04432,-0.20725
0.00000,0.00000,-0.20838
-0.01168,-0.04294,-0.20951
-0.01168,-0.04294,-0.21064
0.00000,0.00000,-0.21177
-0.01345,-0.04149,-0.21291
0.00000,0.00000,-0.21404
-0.01522,-0.03997,-0.21517
-0.01522,-0.03997,-0.21630
0.00000,0.00000,-0.21743
-0.01699,-0.03839,-0.21856
-0.01699,-0.03839,-0.21969
0.00000,0.00000,-0.22082
-0.01876,-0.03676,-0.22195
0.00000,0.00000,-0.22308
-0.02053,-0.03509,-0.22422
-0.02053,-0.03509,-0.22535
0.00000,0.00000,-0.22648
-0.02231,-0.03339,-0.22761
-0.02231,-0.03339,-0.22874
0.00000,0.00000,-0.22987
-0.02408,-0.03165,-0.23100
0.00000,0.00000,-0.23213
-0.02584,-0.02989,-0.23326
-0.02584,-0.02989,-0.23439
0.00000,0.00000,-0.23552
