Tempo, Posicao X, Posicao Y, Orientacao
0.000000, 0.010000, 0.000000, 0.000000
0.030000, 0.030000, 0.000100, 0.020000
0.060000, 0.059985, 0.001000, 0.050000
0.090000, 0.089930, 0.002799, 0.080000
0.120000, 0.119808, 0.005495, 0.110000
0.150000, 0.149591, 0.009086, 0.140000
0.180000, 0.179253, 0.013569, 0.170000
0.210000, 0.208767, 0.018940, 0.200000
0.240000, 0.238107, 0.025193, 0.230000
0.270000, 0.267246, 0.032324, 0.260000
0.300000, 0.296159, 0.040326, 0.290000
0.330000, 0.324818, 0.049191, 0.320000
0.360000, 0.353198, 0.058912, 0.350000
0.390000, 0.381274, 0.069480, 0.380000
0.420000, 0.409020, 0.080885, 0.410000
0.450000, 0.436412, 0.093118, 0.440000
0.480000, 0.463425, 0.106166, 0.470000
0.510000, 0.490034, 0.120019, 0.500000
0.540000, 0.507537, 0.129695, 0.520000
0.570000, 0.533420, 0.144861, 0.550000
0.600000, 0.567202, 0.166276, 0.590000
0.630000, 0.583764, 0.177486, 0.610000
0.660000, 0.608180, 0.194917, 0.640000
0.690000, 0.632062, 0.213072, 0.670000
0.720000, 0.655388, 0.231935, 0.700000
0.750000, 0.678138, 0.251489, 0.730000
0.780000, 0.700292, 0.271717, 0.760000
0.810000, 0.721828, 0.292600, 0.790000
0.840000, 0.742729, 0.314120, 0.820000
0.870000, 0.762974, 0.336258, 0.850000
0.900000, 0.782547, 0.358992, 0.880000
0.930000, 0.801428, 0.382304, 0.910000
0.960000, 0.819602, 0.406171, 0.940000
0.990000, 0.837052, 0.430572, 0.970000
1.020000, 0.853762, 0.455487, 1.000000
1.050000, 0.869718, 0.480891, 1.030000
1.080000, 0.884904, 0.506762, 1.060000
1.110000, 0.899307, 0.533077, 1.090000
1.140000, 0.912915, 0.559812, 1.120000
1.170000, 0.925714, 0.586944, 1.150000
1.200000, 0.937694, 0.614447, 1.180000
1.230000, 0.945220, 0.632977, 1.200000
1.260000, 0.955810, 0.661044, 1.230000
1.290000, 0.965553, 0.689417, 1.260000
1.320000, 0.974441, 0.718069, 1.290000
1.350000, 0.982466, 0.746975, 1.320000
1.380000, 0.989620, 0.776108, 1.350000
1.410000, 0.995897, 0.805443, 1.380000
1.440000, 1.001291, 0.834953, 1.410000
1.470000, 1.005798, 0.864612, 1.440000
1.500000, 1.009413, 0.894392, 1.470000
1.530000, 1.012133, 0.924268, 1.500000
1.560000, 1.013956, 0.954211, 1.530000
1.590000, 1.014879, 0.984196, 1.560000
1.620000, 1.014903, 1.014195, 1.590000
1.650000, 1.014027, 1.044181, 1.620000
1.680000, 1.012252, 1.074128, 1.650000
1.710000, 1.009580, 1.104007, 1.680000
1.740000, 1.006012, 1.133793, 1.710000
1.770000, 1.003138, 1.153586, 1.730000
1.800000, 0.998087, 1.183156, 1.760000
1.830000, 0.992150, 1.212562, 1.790000
1.860000, 0.985334, 1.241776, 1.820000
1.890000, 0.977645, 1.270773, 1.850000
1.920000, 0.969090, 1.299526, 1.880000
1.950000, 0.959676, 1.328010, 1.910000
