Thread, Chamada, T(k), Jitter(k)
Simulacao, 1, 1733871331.789795, 1733871331.779795
Simulacao, 2, 0.010186, 0.000186
Simulacao, 3, 0.010406, 0.000406
Simulacao, 4, 0.010168, 0.000168
Simulacao, 5, 0.010149, 0.000149
Simulacao, 6, 0.010188, 0.000188
Simulacao, 7, 0.010119, 0.000119
Simulacao, 8, 0.010393, 0.000393
Simulacao, 9, 0.010181, 0.000181
Simulacao, 10, 0.010165, 0.000165
Simulacao, 11, 0.010170, 0.000170
Simulacao, 12, 0.010379, 0.000379
Simulacao, 13, 0.010175, 0.000175
Simulacao, 14, 0.010177, 0.000177
Simulacao, 15, 0.010368, 0.000368
Simulacao, 16, 0.010138, 0.000138
Simulacao, 17, 0.010373, 0.000373
Simulacao, 18, 0.010407, 0.000407
Simulacao, 19, 0.010152, 0.000152
Simulacao, 20, 0.010403, 0.000403
Simulacao, 21, 0.010190, 0.000190
Simulacao, 22, 0.010218, 0.000218
Simulacao, 23, 0.010403, 0.000403
Simulacao, 24, 0.010197, 0.000197
Simulacao, 25, 0.010194, 0.000194
Simulacao, 26, 0.010162, 0.000162
Simulacao, 27, 0.010171, 0.000171
Simulacao, 28, 0.010390, 0.000390
Simulacao, 29, 0.010195, 0.000195
Simulacao, 30, 0.010199, 0.000199
Simulacao, 31, 0.010182, 0.000182
Simulacao, 32, 0.010406, 0.000406
Simulacao, 33, 0.010199, 0.000199
Simulacao, 34, 0.010193, 0.000193
Simulacao, 35, 0.010406, 0.000406
Simulacao, 36, 0.010402, 0.000402
Simulacao, 37, 0.010185, 0.000185
Simulacao, 38, 0.010406, 0.000406
Simulacao, 39, 0.010410, 0.000410
Simulacao, 40, 0.010292, 0.000292
Simulacao, 41, 0.010399, 0.000399
Simulacao, 42, 0.010409, 0.000409
Simulacao, 43, 0.010404, 0.000404
Simulacao, 44, 0.010403, 0.000403
Simulacao, 45, 0.010406, 0.000406
Simulacao, 46, 0.010399, 0.000399
Simulacao, 47, 0.010403, 0.000403
Simulacao, 48, 0.010337, 0.000337
Simulacao, 49, 0.010409, 0.000409
Simulacao, 50, 0.010204, 0.000204
Simulacao, 51, 0.010403, 0.000403
Simulacao, 52, 0.010169, 0.000169
