Tempo, Xref, Yref
0.00, 0.0000, 1.0000
0.01, 0.0050, 1.0000
0.02, 0.0100, 0.9999
0.03, 0.0150, 0.9998
0.04, 0.0200, 0.9997
0.05, 0.0250, 0.9996
0.06, 0.0300, 0.9994
0.07, 0.0350, 0.9991
0.08, 0.0400, 0.9988
0.09, 0.0450, 0.9985
0.10, 0.0500, 0.9982
0.11, 0.0550, 0.9978
0.12, 0.0600, 0.9974
0.13, 0.0650, 0.9970
0.14, 0.0699, 0.9965
0.15, 0.0749, 0.9960
0.16, 0.0799, 0.9954
0.17, 0.0849, 0.9948
0.18, 0.0899, 0.9942
0.19, 0.0949, 0.9935
0.20, 0.0998, 0.9928
0.21, 0.1048, 0.9921
0.22, 0.1098, 0.9913
0.23, 0.1147, 0.9905
0.24, 0.1197, 0.9896
0.25, 0.1247, 0.9888
0.26, 0.1296, 0.9879
0.27, 0.1346, 0.9869
0.28, 0.1395, 0.9859
0.29, 0.1445, 0.9849
0.30, 0.1494, 0.9838
0.31, 0.1544, 0.9828
0.32, 0.1593, 0.9816
0.33, 0.1643, 0.9805
0.34, 0.1692, 0.9793
0.35, 0.1741, 0.9780
0.36, 0.1790, 0.9768
0.37, 0.1839, 0.9755
0.38, 0.1889, 0.9741
0.39, 0.1938, 0.9727
0.40, 0.1987, 0.9713
0.41, 0.2036, 0.9699
0.42, 0.2085, 0.9684
0.43, 0.2133, 0.9669
0.44, 0.2182, 0.9654
0.45, 0.2231, 0.9638
0.46, 0.2280, 0.9622
0.47, 0.2328, 0.9605
0.48, 0.2377, 0.9588
0.49, 0.2426, 0.9571
0.50, 0.2474, 0.9553
0.51, 0.2522, 0.9535
0.52, 0.2571, 0.9517
0.53, 0.2619, 0.9499
0.54, 0.2667, 0.9480
0.55, 0.2715, 0.9460
0.56, 0.2764, 0.9441
0.57, 0.2812, 0.9421
0.58, 0.2860, 0.9401
0.59, 0.2907, 0.9380
0.60, 0.2955, 0.9359
0.61, 0.3003, 0.9338
0.62, 0.3051, 0.9316
0.63, 0.3098, 0.9294
0.64, 0.3146, 0.9272
0.65, 0.3193, 0.9249
0.66, 0.3240, 0.9226
0.67, 0.3288, 0.9203
0.68, 0.3335, 0.9179
0.69, 0.3382, 0.9155
0.70, 0.3429, 0.9131
0.71, 0.3476, 0.9106
0.72, 0.3523, 0.9081
0.73, 0.3569, 0.9056
0.74, 0.3616, 0.9030
0.75, 0.3663, 0.9004
0.76, 0.3709, 0.8978
0.77, 0.3756, 0.8952
0.78, 0.3802, 0.8925
0.79, 0.3848, 0.8897
0.80, 0.3894, 0.8870
0.81, 0.3940, 0.8842
0.82, 0.3986, 0.8814
0.83, 0.4032, 0.8785
0.84, 0.4078, 0.8757
0.85, 0.4123, 0.8727
0.86, 0.4169, 0.8698
0.87, 0.4214, 0.8668
0.88, 0.4259, 0.8638
0.89, 0.4305, 0.8608
0.90, 0.4350, 0.8577
0.91, 0.4395, 0.8546
0.92, 0.4439, 0.8515
0.93, 0.4484, 0.8483
0.94, 0.4529, 0.8451
0.95, 0.4573, 0.8419
0.96, 0.4618, 0.8386
0.97, 0.4662, 0.8354
0.98, 0.4706, 0.8321
0.99, 0.4750, 0.8287
1.00, 0.4794, 0.8253
1.01, 0.4838, 0.8219
1.02, 0.4882, 0.8185
1.03, 0.4925, 0.8150
1.04, 0.4969, 0.8115
1.05, 0.5012, 0.8080
1.06, 0.5055, 0.8045
1.07, 0.5098, 0.8009
1.08, 0.5141, 0.7973
1.09, 0.5184, 0.7937
1.10, 0.5227, 0.7900
1.11, 0.5269, 0.7863
1.12, 0.5312, 0.7826
1.13, 0.5354, 0.7788
1.14, 0.5396, 0.7751
1.15, 0.5438, 0.7712
1.16, 0.5480, 0.7674
1.17, 0.5522, 0.7636
1.18, 0.5564, 0.7597
1.19, 0.5605, 0.7557
1.20, 0.5646, 0.7518
1.21, 0.5688, 0.7478
1.22, 0.5729, 0.7438
1.23, 0.5770, 0.7398
1.24, 0.5810, 0.7358
1.25, 0.5851, 0.7317
1.26, 0.5891, 0.7276
1.27, 0.5932, 0.7235
1.28, 0.5972, 0.7193
1.29, 0.6012, 0.7151
1.30, 0.6052, 0.7109
1.31, 0.6092, 0.7067
1.32, 0.6131, 0.7024
1.33, 0.6171, 0.6981
1.34, 0.6210, 0.6938
1.35, 0.6249, 0.6895
1.36, 0.6288, 0.6851
1.37, 0.6327, 0.6808
1.38, 0.6365, 0.6764
1.39, 0.6404, 0.6719
1.40, 0.6442, 0.6675
1.41, 0.6480, 0.6630
1.42, 0.6518, 0.6585
1.43, 0.6556, 0.6540
1.44, 0.6594, 0.6494
1.45, 0.6631, 0.6448
1.46, 0.6669, 0.6402
1.47, 0.6706, 0.6356
1.48, 0.6743, 0.6310
1.49, 0.6780, 0.6263
1.50, 0.6816, 0.6216
1.51, 0.6853, 0.6169
1.52, 0.6889, 0.6122
1.53, 0.6925, 0.6074
1.54, 0.6961, 0.6026
1.55, 0.6997, 0.5978
1.56, 0.7033, 0.5930
1.57, 0.7068, 0.5882
1.58, 0.7104, 0.5833
