Tempo, ymx
0.00, 0.0000
0.01, 0.0000
0.02, 0.0030
0.03, 0.0060
0.04, 0.0090
0.05, 0.0120
0.06, 0.0150
0.07, 0.0180
0.08, 0.0210
0.09, 0.0240
0.10, 0.0270
0.11, 0.0300
0.12, 0.0330
0.13, 0.0360
0.14, 0.0390
0.15, 0.0420
0.16, 0.0450
0.17, 0.0479
0.18, 0.0509
0.19, 0.0539
0.20, 0.0569
0.21, 0.0599
0.22, 0.0629
0.23, 0.0659
0.24, 0.0688
0.25, 0.0718
0.26, 0.0748
0.27, 0.0778
0.28, 0.0808
0.29, 0.0837
0.30, 0.0867
0.31, 0.0897
0.32, 0.0926
0.33, 0.0956
0.34, 0.0986
0.35, 0.1015
0.36, 0.1045
0.37, 0.1074
0.38, 0.1104
0.39, 0.1133
0.40, 0.1163
0.41, 0.1192
0.42, 0.1221
0.43, 0.1251
0.44, 0.1280
0.45, 0.1309
0.46, 0.1339
0.47, 0.1368
0.48, 0.1397
0.49, 0.1426
0.50, 0.1455
0.51, 0.1484
0.52, 0.1513
0.53, 0.1542
0.54, 0.1571
0.55, 0.1600
0.56, 0.1629
0.57, 0.1658
0.58, 0.1687
0.59, 0.1716
0.60, 0.1744
0.61, 0.1773
0.62, 0.1802
0.63, 0.1830
0.64, 0.1859
0.65, 0.1887
0.66, 0.1916
0.67, 0.1944
0.68, 0.1973
0.69, 0.2001
0.70, 0.2029
0.71, 0.2057
0.72, 0.2086
0.73, 0.2114
0.74, 0.2142
0.75, 0.2170
0.76, 0.2198
0.77, 0.2226
0.78, 0.2253
0.79, 0.2281
0.80, 0.2309
0.81, 0.2337
0.82, 0.2364
0.83, 0.2392
0.84, 0.2419
0.85, 0.2447
0.86, 0.2474
0.87, 0.2501
0.88, 0.2528
0.89, 0.2556
0.90, 0.2583
0.91, 0.2610
0.92, 0.2637
0.93, 0.2664
0.94, 0.2691
0.95, 0.2717
0.96, 0.2744
0.97, 0.2771
0.98, 0.2797
0.99, 0.2824
1.00, 0.2850
1.01, 0.2877
1.02, 0.2903
1.03, 0.2929
1.04, 0.2955
1.05, 0.2981
1.06, 0.3007
1.07, 0.3033
1.08, 0.3059
1.09, 0.3085
1.10, 0.3111
1.11, 0.3136
1.12, 0.3162
1.13, 0.3187
1.14, 0.3212
1.15, 0.3238
1.16, 0.3263
1.17, 0.3288
1.18, 0.3313
1.19, 0.3338
1.20, 0.3363
1.21, 0.3388
1.22, 0.3413
1.23, 0.3437
1.24, 0.3462
1.25, 0.3486
1.26, 0.3511
1.27, 0.3535
1.28, 0.3559
1.29, 0.3583
1.30, 0.3607
1.31, 0.3631
1.32, 0.3655
1.33, 0.3679
1.34, 0.3702
1.35, 0.3726
1.36, 0.3749
1.37, 0.3773
1.38, 0.3796
1.39, 0.3819
1.40, 0.3842
1.41, 0.3865
1.42, 0.3888
1.43, 0.3911
1.44, 0.3934
1.45, 0.3956
1.46, 0.3979
1.47, 0.4001
1.48, 0.4024
1.49, 0.4046
1.50, 0.4068
1.51, 0.4090
1.52, 0.4112
1.53, 0.4134
1.54, 0.4155
1.55, 0.4177
1.56, 0.4198
1.57, 0.4220
1.58, 0.4241
1.59, 0.4262
1.60, 0.4283
1.61, 0.4304
1.62, 0.4325
1.63, 0.4346
1.64, 0.4366
1.65, 0.4387
1.66, 0.4407
1.67, 0.4428
1.68, 0.4448
1.69, 0.4468
1.70, 0.4488
1.71, 0.4508
1.72, 0.4527
1.73, 0.4547
1.74, 0.4567
1.75, 0.4586
1.76, 0.4605
1.77, 0.4624
1.78, 0.4643
1.79, 0.4662
1.80, 0.4681
1.81, 0.4700
1.82, 0.4719
1.83, 0.4737
1.84, 0.4755
1.85, 0.4774
1.86, 0.4792
1.87, 0.4810
1.88, 0.4828
1.89, 0.4845
1.90, 0.4863
1.91, 0.4880
1.92, 0.4898
1.93, 0.4915
1.94, 0.4932
1.95, 0.4949
1.96, 0.4966
1.97, 0.4983
1.98, 0.5000
1.99, 0.5016
2.00, 0.5033
2.01, 0.5049
2.02, 0.5065
2.03, 0.5081
2.04, 0.5097
2.05, 0.5113
2.06, 0.5128
2.07, 0.5144
2.08, 0.5159
2.09, 0.5174
2.10, 0.5190
2.11, 0.5205
2.12, 0.5219
2.13, 0.5234
2.14, 0.5249
2.15, 0.5263
2.16, 0.5278
2.17, 0.5292
2.18, 0.5306
2.19, 0.5320
2.20, 0.5334
2.21, 0.5347
2.22, 0.5361
2.23, 0.5374
2.24, 0.5387
2.25, 0.5401
2.26, 0.5414
2.27, 0.5426
2.28, 0.5439
2.29, 0.5452
2.30, 0.5464
2.31, 0.5477
2.32, 0.5489
2.33, 0.5501
2.34, 0.5513
2.35, 0.5525
2.36, 0.5536
2.37, 0.5548
2.38, 0.5559
2.39, 0.5570
2.40, 0.5581
2.41, 0.5592
2.42, 0.5603
2.43, 0.5614
2.44, 0.5624
2.45, 0.5635
2.46, 0.5645
2.47, 0.5655
2.48, 0.5665
2.49, 0.5675
2.50, 0.5684
2.51, 0.5694
2.52, 0.5703
2.53, 0.5713
2.54, 0.5722
2.55, 0.5731
2.56, 0.5739
2.57, 0.5748
2.58, 0.5757
2.59, 0.5765
2.60, 0.5773
2.61, 0.5781
2.62, 0.5789
2.63, 0.5797
2.64, 0.5805
2.65, 0.5812
2.66, 0.5820
2.67, 0.5827
2.68, 0.5834
2.69, 0.5841
2.70, 0.5848
2.71, 0.5854
2.72, 0.5861
2.73, 0.5867
2.74, 0.5873
2.75, 0.5879
2.76, 0.5885
2.77, 0.5891
2.78, 0.5897
2.79, 0.5902
2.80, 0.5908
2.81, 0.5913
2.82, 0.5918
2.83, 0.5923
2.84, 0.5927
2.85, 0.5932
2.86, 0.5936
2.87, 0.5941
2.88, 0.5945
2.89, 0.5949
2.90, 0.5953
2.91, 0.5956
2.92, 0.5960
2.93, 0.5963
2.94, 0.5966
2.95, 0.5970
2.96, 0.5972
2.97, 0.5975
2.98, 0.5978
2.99, 0.5980
3.00, 0.5983
3.01, 0.5985
3.02, 0.5987
3.03, 0.5989
3.04, 0.5991
3.05, 0.5992
3.06, 0.5994
3.07, 0.5995
3.08, 0.5996
3.09, 0.5997
3.10, 0.5998
3.11, 0.5999
3.12, 0.5999
3.13, 0.6000
3.14, 0.6000
3.15, 0.6000
3.16, 0.6000
3.17, 0.6000
3.18, 0.5999
3.19, 0.5999
3.20, 0.5998
3.21, 0.5997
3.22, 0.5996
3.23, 0.5995
3.24, 0.5994
3.25, 0.5993
3.26, 0.5991
3.27, 0.5989
3.28, 0.5988
3.29, 0.5986
3.30, 0.5983
3.31, 0.5981
3.32, 0.5979
3.33, 0.5976
3.34, 0.5973
3.35, 0.5971
3.36, 0.5967
3.37, 0.5964
3.38, 0.5961
3.39, 0.5957
3.40, 0.5954
3.41, 0.5950
3.42, 0.5946
3.43, 0.5942
3.44, 0.5938
3.45, 0.5933
3.46, 0.5929
3.47, 0.5924
3.48, 0.5919
3.49, 0.5914
3.50, 0.5909
3.51, 0.5904
3.52, 0.5898
3.53, 0.5893
3.54, 0.5887
3.55, 0.5881
3.56, 0.5875
3.57, 0.5869
3.58, 0.5863
3.59, 0.5856
3.60, 0.5850
3.61, 0.5843
3.62, 0.5836
3.63, 0.5829
3.64, 0.5822
3.65, 0.5815
3.66, 0.5807
3.67, 0.5800
3.68, 0.5792
3.69, 0.5784
3.70, 0.5776
3.71, 0.5768
3.72, 0.5759
3.73, 0.5751
3.74, 0.5742
3.75, 0.5733
3.76, 0.5725
3.77, 0.5715
3.78, 0.5706
3.79, 0.5697
3.80, 0.5687
3.81, 0.5678
3.82, 0.5668
3.83, 0.5658
3.84, 0.5648
3.85, 0.5638
3.86, 0.5628
3.87, 0.5617
3.88, 0.5606
3.89, 0.5596
3.90, 0.5585
3.91, 0.5574
3.92, 0.5563
3.93, 0.5551
3.94, 0.5540
3.95, 0.5528
3.96, 0.5516
3.97, 0.5505
3.98, 0.5493
3.99, 0.5480
4.00, 0.5468
4.01, 0.5456
4.02, 0.5443
4.03, 0.5431
4.04, 0.5418
4.05, 0.5405
4.06, 0.5392
4.07, 0.5378
4.08, 0.5365
4.09, 0.5352
4.10, 0.5338
4.11, 0.5324
4.12, 0.5310
4.13, 0.5296
4.14, 0.5282
4.15, 0.5268
4.16, 0.5253
4.17, 0.5239
4.18, 0.5224
4.19, 0.5209
4.20, 0.5194
4.21, 0.5179
4.22, 0.5164
4.23, 0.5149
4.24, 0.5133
4.25, 0.5118
4.26, 0.5102
4.27, 0.5086
4.28, 0.5070
4.29, 0.5054
4.30, 0.5038
4.31, 0.5021
4.32, 0.5005
4.33, 0.4988
4.34, 0.4972
4.35, 0.4955
4.36, 0.4938
4.37, 0.4921
4.38, 0.4903
4.39, 0.4886
4.40, 0.4869
4.41, 0.4851
4.42, 0.4833
4.43, 0.4815
4.44, 0.4797
4.45, 0.4779
4.46, 0.4761
4.47, 0.4743
4.48, 0.4724
4.49, 0.4706
4.50, 0.4687
4.51, 0.4668
4.52, 0.4650
4.53, 0.4631
4.54, 0.4611
4.55, 0.4592
4.56, 0.4573
4.57, 0.4553
4.58, 0.4534
4.59, 0.4514
4.60, 0.4494
4.61, 0.4474
4.62, 0.4454
4.63, 0.4434
4.64, 0.4414
4.65, 0.4393
4.66, 0.4373
4.67, 0.4352
4.68, 0.4332
4.69, 0.4311
4.70, 0.4290
4.71, 0.4269
4.72, 0.4248
4.73, 0.4226
4.74, 0.4205
4.75, 0.4184
4.76, 0.4162
4.77, 0.4140
4.78, 0.4119
4.79, 0.4097
4.80, 0.4075
4.81, 0.4053
4.82, 0.4031
4.83, 0.4008
4.84, 0.3986
4.85, 0.3963
4.86, 0.3941
4.87, 0.3918
4.88, 0.3895
4.89, 0.3873
4.90, 0.3850
4.91, 0.3827
4.92, 0.3803
4.93, 0.3780
4.94, 0.3757
4.95, 0.3733
4.96, 0.3710
4.97, 0.3686
4.98, 0.3663
4.99, 0.3639
5.00, 0.3615
5.01, 0.3591
5.02, 0.3567
5.03, 0.3543
5.04, 0.3518
5.05, 0.3494
5.06, 0.3470
5.07, 0.3445
5.08, 0.3420
5.09, 0.3396
5.10, 0.3371
5.11, 0.3346
5.12, 0.3321
5.13, 0.3296
5.14, 0.3271
5.15, 0.3246
5.16, 0.3221
5.17, 0.3195
5.18, 0.3170
5.19, 0.3144
5.20, 0.3119
5.21, 0.3093
5.22, 0.3067
5.23, 0.3041
5.24, 0.3016
5.25, 0.2990
5.26, 0.2964
5.27, 0.2937
5.28, 0.2911
5.29, 0.2885
5.30, 0.2859
5.31, 0.2832
5.32, 0.2806
5.33, 0.2779
5.34, 0.2753
5.35, 0.2726
5.36, 0.2699
5.37, 0.2672
5.38, 0.2645
5.39, 0.2618
5.40, 0.2591
5.41, 0.2564
5.42, 0.2537
5.43, 0.2510
5.44, 0.2483
5.45, 0.2455
5.46, 0.2428
5.47, 0.2400
5.48, 0.2373
5.49, 0.2345
5.50, 0.2318
5.51, 0.2290
5.52, 0.2262
5.53, 0.2234
5.54, 0.2207
5.55, 0.2179
5.56, 0.2151
5.57, 0.2123
5.58, 0.2094
5.59, 0.2066
5.60, 0.2038
5.61, 0.2010
5.62, 0.1982
5.63, 0.1953
5.64, 0.1925
5.65, 0.1896
5.66, 0.1868
5.67, 0.1839
5.68, 0.1811
5.69, 0.1782
5.70, 0.1754
5.71, 0.1725
5.72, 0.1696
5.73, 0.1667
5.74, 0.1638
5.75, 0.1610
5.76, 0.1581
5.77, 0.1552
5.78, 0.1523
5.79, 0.1494
5.80, 0.1465
5.81, 0.1435
5.82, 0.1406
5.83, 0.1377
5.84, 0.1348
5.85, 0.1319
5.86, 0.1289
5.87, 0.1260
5.88, 0.1231
5.89, 0.1201
5.90, 0.1172
5.91, 0.1143
5.92, 0.1113
5.93, 0.1084
5.94, 0.1054
5.95, 0.1025
5.96, 0.0995
5.97, 0.0965
5.98, 0.0936
5.99, 0.0906
6.00, 0.0876
6.01, 0.0847
6.02, 0.0817
6.03, 0.0787
6.04, 0.0758
6.05, 0.0728
6.06, 0.0698
6.07, 0.0668
6.08, 0.0638
6.09, 0.0609
6.10, 0.0579
6.11, 0.0549
6.12, 0.0519
6.13, 0.0489
6.14, 0.0459
6.15, 0.0429
6.16, 0.0399
6.17, 0.0369
6.18, 0.0339
6.19, 0.0309
6.20, 0.0279
6.21, 0.0249
6.22, 0.0220
6.23, 0.0190
6.24, 0.0160
6.25, 0.0130
6.26, 0.0100
6.27, 0.0070
6.28, 0.0040
6.29, 0.0010
6.30, -0.0020
6.31, -0.0050
6.32, -0.0080
6.33, -0.0110
6.34, -0.0140
6.35, -0.0170
6.36, -0.0200
6.37, -0.0230
6.38, -0.0260
6.39, -0.0290
6.40, -0.0320
6.41, -0.0350
6.42, -0.0380
6.43, -0.0410
6.44, -0.0440
6.45, -0.0470
6.46, -0.0500
6.47, -0.0530
6.48, -0.0560
6.49, -0.0589
6.50, -0.0619
6.51, -0.0649
6.52, -0.0679
6.53, -0.0709
6.54, -0.0739
6.55, -0.0768
6.56, -0.0798
6.57, -0.0828
6.58, -0.0857
6.59, -0.0887
6.60, -0.0917
6.61, -0.0946
6.62, -0.0976
6.63, -0.1006
6.64, -0.1035
6.65, -0.1065
6.66, -0.1094
6.67, -0.1124
6.68, -0.1153
6.69, -0.1183
6.70, -0.1212
6.71, -0.1241
6.72, -0.1271
6.73, -0.1300
6.74, -0.1329
6.75, -0.1359
6.76, -0.1388
6.77, -0.1417
6.78, -0.1446
6.79, -0.1475
6.80, -0.1504
6.81, -0.1533
6.82, -0.1562
6.83, -0.1591
6.84, -0.1620
6.85, -0.1649
6.86, -0.1678
6.87, -0.1707
6.88, -0.1735
6.89, -0.1764
6.90, -0.1793
6.91, -0.1821
6.92, -0.1850
6.93, -0.1878
6.94, -0.1907
6.95, -0.1935
6.96, -0.1964
6.97, -0.1992
6.98, -0.2020
6.99, -0.2048
7.00, -0.2077
7.01, -0.2105
7.02, -0.2133
7.03, -0.2161
7.04, -0.2189
7.05, -0.2217
7.06, -0.2244
7.07, -0.2272
7.08, -0.2300
7.09, -0.2328
7.10, -0.2355
7.11, -0.2383
7.12, -0.2410
7.13, -0.2438
7.14, -0.2465
7.15, -0.2493
7.16, -0.2520
7.17, -0.2547
7.18, -0.2574
7.19, -0.2601
7.20, -0.2628
7.21, -0.2655
7.22, -0.2682
7.23, -0.2709
7.24, -0.2736
7.25, -0.2762
7.26, -0.2789
7.27, -0.2815
7.28, -0.2842
7.29, -0.2868
7.30, -0.2894
7.31, -0.2921
7.32, -0.2947
7.33, -0.2973
7.34, -0.2999
7.35, -0.3025
7.36, -0.3051
7.37, -0.3077
7.38, -0.3102
7.39, -0.3128
7.40, -0.3154
7.41, -0.3179
7.42, -0.3204
7.43, -0.3230
7.44, -0.3255
7.45, -0.3280
7.46, -0.3305
7.47, -0.3330
7.48, -0.3355
7.49, -0.3380
7.50, -0.3405
7.51, -0.3429
7.52, -0.3454
7.53, -0.3478
7.54, -0.3503
7.55, -0.3527
7.56, -0.3551
7.57, -0.3576
7.58, -0.3600
7.59, -0.3624
7.60, -0.3647
7.61, -0.3671
7.62, -0.3695
7.63, -0.3718
7.64, -0.3742
7.65, -0.3765
7.66, -0.3789
7.67, -0.3812
7.68, -0.3835
7.69, -0.3858
7.70, -0.3881
7.71, -0.3904
7.72, -0.3926
7.73, -0.3949
7.74, -0.3972
7.75, -0.3994
7.76, -0.4016
7.77, -0.4039
7.78, -0.4061
7.79, -0.4083
7.80, -0.4105
7.81, -0.4127
7.82, -0.4148
7.83, -0.4170
7.84, -0.4191
7.85, -0.4213
7.86, -0.4234
7.87, -0.4255
7.88, -0.4276
7.89, -0.4297
7.90, -0.4318
7.91, -0.4339
7.92, -0.4360
7.93, -0.4380
7.94, -0.4401
7.95, -0.4421
7.96, -0.4441
7.97, -0.4461
7.98, -0.4481
7.99, -0.4501
8.00, -0.4521
8.01, -0.4541
8.02, -0.4560
8.03, -0.4580
8.04, -0.4599
8.05, -0.4618
8.06, -0.4637
8.07, -0.4656
8.08, -0.4675
8.09, -0.4694
8.10, -0.4713
8.11, -0.4731
8.12, -0.4750
8.13, -0.4768
8.14, -0.4786
8.15, -0.4804
8.16, -0.4822
8.17, -0.4840
8.18, -0.4857
8.19, -0.4875
8.20, -0.4892
8.21, -0.4910
8.22, -0.4927
8.23, -0.4944
8.24, -0.4961
8.25, -0.4978
8.26, -0.4994
8.27, -0.5011
8.28, -0.5027
8.29, -0.5044
8.30, -0.5060
8.31, -0.5076
8.32, -0.5092
8.33, -0.5108
8.34, -0.5123
8.35, -0.5139
8.36, -0.5154
8.37, -0.5170
8.38, -0.5185
8.39, -0.5200
8.40, -0.5215
8.41, -0.5229
8.42, -0.5244
8.43, -0.5259
8.44, -0.5273
8.45, -0.5287
8.46, -0.5301
8.47, -0.5315
8.48, -0.5329
8.49, -0.5343
8.50, -0.5356
8.51, -0.5370
8.52, -0.5383
8.53, -0.5396
8.54, -0.5409
8.55, -0.5422
8.56, -0.5435
8.57, -0.5448
8.58, -0.5460
8.59, -0.5473
8.60, -0.5485
8.61, -0.5497
8.62, -0.5509
8.63, -0.5521
8.64, -0.5532
8.65, -0.5544
8.66, -0.5555
8.67, -0.5567
8.68, -0.5578
8.69, -0.5589
8.70, -0.5600
8.71, -0.5610
8.72, -0.5621
8.73, -0.5631
8.74, -0.5642
8.75, -0.5652
8.76, -0.5662
8.77, -0.5672
8.78, -0.5681
8.79, -0.5691
8.80, -0.5700
8.81, -0.5710
8.82, -0.5719
8.83, -0.5728
8.84, -0.5737
8.85, -0.5745
8.86, -0.5754
8.87, -0.5762
8.88, -0.5771
8.89, -0.5779
8.90, -0.5787
8.91, -0.5795
8.92, -0.5802
8.93, -0.5810
8.94, -0.5817
8.95, -0.5825
8.96, -0.5832
8.97, -0.5839
8.98, -0.5846
8.99, -0.5852
9.00, -0.5859
9.01, -0.5865
9.02, -0.5871
9.03, -0.5878
9.04, -0.5883
9.05, -0.5889
9.06, -0.5895
9.07, -0.5900
9.08, -0.5906
9.09, -0.5911
9.10, -0.5916
9.11, -0.5921
9.12, -0.5926
9.13, -0.5930
9.14, -0.5935
9.15, -0.5939
9.16, -0.5943
9.17, -0.5947
9.18, -0.5951
9.19, -0.5955
9.20, -0.5959
9.21, -0.5962
9.22, -0.5965
