Tempo, Xref, Yref
0.00, 0.0000, 1.0000
0.12, 0.0600, 0.9974
0.24, 0.1197, 0.9896
0.36, 0.1790, 0.9768
0.48, 0.2377, 0.9588
0.60, 0.2955, 0.9359
0.72, 0.3523, 0.9081
0.84, 0.4078, 0.8757
0.96, 0.4618, 0.8386
1.08, 0.5141, 0.7973
1.20, 0.5646, 0.7518
1.32, 0.6131, 0.7024
1.44, 0.6594, 0.6494
1.56, 0.7033, 0.5930
1.68, 0.7446, 0.5336
1.80, 0.7833, 0.4713
1.92, 0.8192, 0.4067
2.04, 0.8521, 0.3399
2.16, 0.8820, 0.2714
2.28, 0.9086, 0.2014
2.40, 0.9320, 0.1304
2.52, 0.9521, 0.0588
2.64, 0.9687, -0.0132
2.76, 0.9819, -0.0851
2.88, 0.9915, -0.1566
3.00, 0.9975, -0.2272
3.12, 0.9999, -0.2967
3.24, 0.9988, -0.3646
3.36, 0.9940, -0.4306
3.48, 0.9857, -0.4945
3.60, 0.9738, -0.5557
3.72, 0.9585, -0.6141
3.84, 0.9396, -0.6693
3.96, 0.9174, -0.7210
4.08, 0.8919, -0.7690
4.20, 0.8632, -0.8130
4.32, 0.8314, -0.8527
4.44, 0.7966, -0.8881
4.56, 0.7589, -0.9189
4.68, 0.7185, -0.9449
4.80, 0.6755, -0.9660
4.92, 0.6300, -0.9821
5.04, 0.5823, -0.9931
5.16, 0.5325, -0.9990
5.28, 0.4808, -0.9997
5.40, 0.4274, -0.9952
5.52, 0.3724, -0.9855
5.64, 0.3161, -0.9708
5.76, 0.2586, -0.9510
5.88, 0.2002, -0.9263
6.00, 0.1411, -0.8968
6.12, 0.0815, -0.8626
6.24, 0.0216, -0.8240
6.36, -0.0384, -0.7811
6.48, -0.0982, -0.7341
6.60, -0.1577, -0.6834
6.72, -0.2167, -0.6291
6.84, -0.2748, -0.5715
6.96, -0.3320, -0.5110
7.08, -0.3880, -0.4479
7.20, -0.4425, -0.3824
7.32, -0.4955, -0.3149
7.44, -0.5467, -0.2458
7.56, -0.5959, -0.1755
7.68, -0.6430, -0.1042
7.80, -0.6878, -0.0324
7.92, -0.7301, 0.0396
8.04, -0.7697, 0.1114
8.16, -0.8066, 0.1826
8.28, -0.8406, 0.2528
8.40, -0.8716, 0.3218
8.52, -0.8994, 0.3891
8.64, -0.9240, 0.4543
8.76, -0.9453, 0.5172
8.88, -0.9631, 0.5775
9.00, -0.9775, 0.6347
9.12, -0.9884, 0.6886
9.24, -0.9957, 0.7390
9.36, -0.9995, 0.7856
9.48, -0.9996, 0.8280
9.60, -0.9962, 0.8662
9.72, -0.9891, 0.8999
9.84, -0.9785, 0.9290
9.96, -0.9644, 0.9532
10.08, -0.9468, 0.9725
10.20, -0.9258, 0.9867
10.32, -0.9015, 0.9958
10.44, -0.8739, 0.9998
10.56, -0.8432, 0.9986
10.68, -0.8094, 0.9922
10.80, -0.7728, 0.9807
10.92, -0.7333, 0.9641
11.04, -0.6912, 0.9425
11.16, -0.6467, 0.9160
11.28, -0.5997, 0.8848
11.40, -0.5507, 0.8489
11.52, -0.4996, 0.8087
11.64, -0.4468, 0.7643
11.76, -0.3924, 0.7159
11.88, -0.3365, 0.6639
12.00, -0.2794, 0.6084
12.12, -0.2213, 0.5497
12.24, -0.1625, 0.4882
12.36, -0.1030, 0.4241
12.48, -0.0432, 0.3579
12.60, 0.0168, 0.2898
12.72, 0.0767, 0.2202
12.84, 0.1364, 0.1494
12.96, 0.1955, 0.0779
13.08, 0.2540, 0.0060
13.20, 0.3115, -0.0660
13.32, 0.3680, -0.1376
13.44, 0.4231, -0.2085
13.56, 0.4766, -0.2783
13.68, 0.5285, -0.3467
13.80, 0.5784, -0.4132
13.92, 0.6263, -0.4777
14.04, 0.6719, -0.5396
14.16, 0.7151, -0.5988
