Tempo, ymy
0.00, 0.0000
0.01, 0.6000
0.02, 0.6000
0.03, 0.6000
0.04, 0.5999
0.05, 0.5998
0.06, 0.5997
0.07, 0.5996
0.08, 0.5995
0.09, 0.5993
0.10, 0.5991
0.11, 0.5989
0.12, 0.5987
0.13, 0.5984
0.14, 0.5982
0.15, 0.5979
0.16, 0.5976
0.17, 0.5972
0.18, 0.5969
0.19, 0.5965
0.20, 0.5961
0.21, 0.5957
0.22, 0.5952
0.23, 0.5948
0.24, 0.5943
0.25, 0.5938
0.26, 0.5933
0.27, 0.5927
0.28, 0.5921
0.29, 0.5916
0.30, 0.5909
0.31, 0.5903
0.32, 0.5897
0.33, 0.5890
0.34, 0.5883
0.35, 0.5876
0.36, 0.5868
0.37, 0.5861
0.38, 0.5853
0.39, 0.5845
0.40, 0.5836
0.41, 0.5828
0.42, 0.5819
0.43, 0.5810
0.44, 0.5801
0.45, 0.5792
0.46, 0.5783
0.47, 0.5773
0.48, 0.5763
0.49, 0.5753
0.50, 0.5743
0.51, 0.5732
0.52, 0.5721
0.53, 0.5710
0.54, 0.5699
0.55, 0.5688
0.56, 0.5676
0.57, 0.5664
0.58, 0.5653
0.59, 0.5640
0.60, 0.5628
0.61, 0.5615
0.62, 0.5603
0.63, 0.5590
0.64, 0.5576
0.65, 0.5563
0.66, 0.5549
0.67, 0.5536
0.68, 0.5522
0.69, 0.5507
0.70, 0.5493
0.71, 0.5479
0.72, 0.5464
0.73, 0.5449
0.74, 0.5434
0.75, 0.5418
0.76, 0.5403
0.77, 0.5387
0.78, 0.5371
0.79, 0.5355
0.80, 0.5338
0.81, 0.5322
0.82, 0.5305
0.83, 0.5288
0.84, 0.5271
0.85, 0.5254
0.86, 0.5236
0.87, 0.5219
0.88, 0.5201
0.89, 0.5183
0.90, 0.5165
0.91, 0.5146
0.92, 0.5128
0.93, 0.5109
0.94, 0.5090
0.95, 0.5071
0.96, 0.5051
0.97, 0.5032
0.98, 0.5012
0.99, 0.4992
1.00, 0.4972
1.01, 0.4952
1.02, 0.4932
1.03, 0.4911
1.04, 0.4890
1.05, 0.4869
1.06, 0.4848
1.07, 0.4827
1.08, 0.4805
1.09, 0.4784
1.10, 0.4762
1.11, 0.4740
1.12, 0.4718
1.13, 0.4695
1.14, 0.4673
1.15, 0.4650
1.16, 0.4627
1.17, 0.4604
1.18, 0.4581
1.19, 0.4558
1.20, 0.4534
1.21, 0.4511
1.22, 0.4487
1.23, 0.4463
1.24, 0.4439
1.25, 0.4415
1.26, 0.4390
1.27, 0.4366
1.28, 0.4341
1.29, 0.4316
1.30, 0.4291
1.31, 0.4265
1.32, 0.4240
1.33, 0.4215
1.34, 0.4189
1.35, 0.4163
1.36, 0.4137
1.37, 0.4111
1.38, 0.4085
1.39, 0.4058
1.40, 0.4032
1.41, 0.4005
1.42, 0.3978
1.43, 0.3951
1.44, 0.3924
1.45, 0.3896
1.46, 0.3869
1.47, 0.3841
1.48, 0.3814
1.49, 0.3786
1.50, 0.3758
1.51, 0.3730
1.52, 0.3701
1.53, 0.3673
1.54, 0.3644
1.55, 0.3616
1.56, 0.3587
1.57, 0.3558
1.58, 0.3529
1.59, 0.3500
1.60, 0.3471
1.61, 0.3441
1.62, 0.3412
1.63, 0.3382
1.64, 0.3352
1.65, 0.3322
1.66, 0.3292
1.67, 0.3262
1.68, 0.3232
1.69, 0.3201
1.70, 0.3171
1.71, 0.3140
1.72, 0.3109
1.73, 0.3079
1.74, 0.3048
1.75, 0.3017
1.76, 0.2985
1.77, 0.2954
1.78, 0.2923
1.79, 0.2891
1.80, 0.2860
1.81, 0.2828
1.82, 0.2796
1.83, 0.2764
1.84, 0.2732
1.85, 0.2700
1.86, 0.2668
1.87, 0.2636
1.88, 0.2603
1.89, 0.2571
1.90, 0.2538
1.91, 0.2506
1.92, 0.2473
1.93, 0.2440
1.94, 0.2407
1.95, 0.2374
1.96, 0.2341
1.97, 0.2308
1.98, 0.2274
1.99, 0.2241
2.00, 0.2208
2.01, 0.2174
2.02, 0.2141
2.03, 0.2107
2.04, 0.2073
2.05, 0.2039
2.06, 0.2005
2.07, 0.1971
2.08, 0.1937
2.09, 0.1903
2.10, 0.1869
2.11, 0.1835
2.12, 0.1801
2.13, 0.1766
2.14, 0.1732
2.15, 0.1697
2.16, 0.1663
2.17, 0.1628
2.18, 0.1593
2.19, 0.1559
2.20, 0.1524
2.21, 0.1489
2.22, 0.1454
2.23, 0.1419
2.24, 0.1384
2.25, 0.1349
2.26, 0.1314
2.27, 0.1279
2.28, 0.1244
2.29, 0.1208
2.30, 0.1173
2.31, 0.1138
2.32, 0.1102
2.33, 0.1067
2.34, 0.1032
2.35, 0.0996
2.36, 0.0961
2.37, 0.0925
2.38, 0.0889
2.39, 0.0854
2.40, 0.0818
2.41, 0.0783
2.42, 0.0747
2.43, 0.0711
2.44, 0.0675
2.45, 0.0640
2.46, 0.0604
2.47, 0.0568
2.48, 0.0532
2.49, 0.0496
2.50, 0.0460
2.51, 0.0424
2.52, 0.0389
2.53, 0.0353
2.54, 0.0317
2.55, 0.0281
2.56, 0.0245
2.57, 0.0209
2.58, 0.0173
2.59, 0.0137
2.60, 0.0101
2.61, 0.0065
2.62, 0.0029
2.63, -0.0007
2.64, -0.0043
2.65, -0.0079
2.66, -0.0115
2.67, -0.0151
2.68, -0.0187
2.69, -0.0223
2.70, -0.0259
2.71, -0.0295
2.72, -0.0331
2.73, -0.0367
2.74, -0.0403
2.75, -0.0439
2.76, -0.0475
2.77, -0.0511
2.78, -0.0546
2.79, -0.0582
2.80, -0.0618
2.81, -0.0654
2.82, -0.0690
2.83, -0.0725
2.84, -0.0761
2.85, -0.0797
2.86, -0.0833
2.87, -0.0868
2.88, -0.0904
2.89, -0.0939
2.90, -0.0975
2.91, -0.1010
2.92, -0.1046
2.93, -0.1081
2.94, -0.1117
2.95, -0.1152
2.96, -0.1187
2.97, -0.1223
2.98, -0.1258
2.99, -0.1293
3.00, -0.1328
3.01, -0.1363
3.02, -0.1398
3.03, -0.1433
3.04, -0.1468
3.05, -0.1503
3.06, -0.1538
3.07, -0.1573
3.08, -0.1607
3.09, -0.1642
3.10, -0.1677
3.11, -0.1711
3.12, -0.1746
3.13, -0.1780
3.14, -0.1814
3.15, -0.1849
3.16, -0.1883
3.17, -0.1917
3.18, -0.1951
3.19, -0.1985
3.20, -0.2019
3.21, -0.2053
3.22, -0.2087
3.23, -0.2120
3.24, -0.2154
3.25, -0.2188
3.26, -0.2221
3.27, -0.2254
3.28, -0.2288
3.29, -0.2321
3.30, -0.2354
3.31, -0.2387
3.32, -0.2420
3.33, -0.2453
3.34, -0.2486
3.35, -0.2519
3.36, -0.2551
3.37, -0.2584
3.38, -0.2616
3.39, -0.2649
3.40, -0.2681
3.41, -0.2713
3.42, -0.2745
3.43, -0.2777
3.44, -0.2809
3.45, -0.2841
3.46, -0.2872
3.47, -0.2904
3.48, -0.2935
3.49, -0.2967
3.50, -0.2998
3.51, -0.3029
3.52, -0.3060
3.53, -0.3091
3.54, -0.3122
3.55, -0.3152
3.56, -0.3183
3.57, -0.3214
3.58, -0.3244
3.59, -0.3274
3.60, -0.3304
3.61, -0.3334
3.62, -0.3364
3.63, -0.3394
3.64, -0.3423
3.65, -0.3453
3.66, -0.3482
3.67, -0.3512
3.68, -0.3541
3.69, -0.3570
3.70, -0.3599
3.71, -0.3627
3.72, -0.3656
3.73, -0.3684
3.74, -0.3713
3.75, -0.3741
3.76, -0.3769
3.77, -0.3797
3.78, -0.3825
3.79, -0.3852
3.80, -0.3880
3.81, -0.3907
3.82, -0.3935
3.83, -0.3962
3.84, -0.3989
3.85, -0.4016
3.86, -0.4042
3.87, -0.4069
3.88, -0.4095
3.89, -0.4121
3.90, -0.4147
3.91, -0.4173
3.92, -0.4199
3.93, -0.4225
3.94, -0.4250
3.95, -0.4276
3.96, -0.4301
3.97, -0.4326
3.98, -0.4351
3.99, -0.4375
4.00, -0.4400
4.01, -0.4424
4.02, -0.4449
4.03, -0.4473
4.04, -0.4497
4.05, -0.4520
4.06, -0.4544
4.07, -0.4567
4.08, -0.4591
4.09, -0.4614
4.10, -0.4637
4.11, -0.4659
4.12, -0.4682
4.13, -0.4704
4.14, -0.4727
4.15, -0.4749
4.16, -0.4771
4.17, -0.4792
4.18, -0.4814
4.19, -0.4835
4.20, -0.4857
4.21, -0.4878
4.22, -0.4899
4.23, -0.4919
4.24, -0.4940
4.25, -0.4960
4.26, -0.4980
4.27, -0.5000
4.28, -0.5020
4.29, -0.5040
4.30, -0.5059
4.31, -0.5078
4.32, -0.5098
4.33, -0.5116
4.34, -0.5135
4.35, -0.5154
4.36, -0.5172
4.37, -0.5190
4.38, -0.5208
4.39, -0.5226
4.40, -0.5244
4.41, -0.5261
4.42, -0.5278
4.43, -0.5295
4.44, -0.5312
4.45, -0.5329
4.46, -0.5345
4.47, -0.5361
4.48, -0.5377
4.49, -0.5393
4.50, -0.5409
4.51, -0.5424
4.52, -0.5440
4.53, -0.5455
4.54, -0.5470
4.55, -0.5484
4.56, -0.5499
4.57, -0.5513
4.58, -0.5527
4.59, -0.5541
4.60, -0.5555
4.61, -0.5568
4.62, -0.5582
4.63, -0.5595
4.64, -0.5608
4.65, -0.5620
4.66, -0.5633
4.67, -0.5645
4.68, -0.5657
4.69, -0.5669
4.70, -0.5681
4.71, -0.5692
4.72, -0.5704
4.73, -0.5715
4.74, -0.5726
4.75, -0.5736
4.76, -0.5747
4.77, -0.5757
4.78, -0.5767
4.79, -0.5777
4.80, -0.5786
4.81, -0.5796
4.82, -0.5805
4.83, -0.5814
4.84, -0.5823
4.85, -0.5831
4.86, -0.5840
4.87, -0.5848
4.88, -0.5856
4.89, -0.5864
4.90, -0.5871
4.91, -0.5878
4.92, -0.5886
4.93, -0.5892
4.94, -0.5899
4.95, -0.5906
4.96, -0.5912
4.97, -0.5918
4.98, -0.5924
4.99, -0.5929
5.00, -0.5935
5.01, -0.5940
5.02, -0.5945
5.03, -0.5950
5.04, -0.5954
5.05, -0.5959
5.06, -0.5963
5.07, -0.5967
5.08, -0.5970
5.09, -0.5974
5.10, -0.5977
5.11, -0.5980
5.12, -0.5983
5.13, -0.5985
5.14, -0.5988
5.15, -0.5990
5.16, -0.5992
5.17, -0.5994
5.18, -0.5995
5.19, -0.5997
5.20, -0.5998
5.21, -0.5999
5.22, -0.5999
5.23, -0.6000
5.24, -0.6000
5.25, -0.6000
5.26, -0.6000
5.27, -0.5999
5.28, -0.5999
5.29, -0.5998
5.30, -0.5997
5.31, -0.5996
5.32, -0.5994
5.33, -0.5992
5.34, -0.5990
5.35, -0.5988
5.36, -0.5986
5.37, -0.5983
5.38, -0.5981
5.39, -0.5978
5.40, -0.5974
5.41, -0.5971
5.42, -0.5967
5.43, -0.5963
5.44, -0.5959
5.45, -0.5955
5.46, -0.5951
5.47, -0.5946
5.48, -0.5941
5.49, -0.5936
5.50, -0.5930
5.51, -0.5925
5.52, -0.5919
5.53, -0.5913
5.54, -0.5907
5.55, -0.5900
5.56, -0.5894
5.57, -0.5887
5.58, -0.5880
5.59, -0.5873
5.60, -0.5865
5.61, -0.5857
5.62, -0.5850
5.63, -0.5841
5.64, -0.5833
5.65, -0.5825
5.66, -0.5816
5.67, -0.5807
5.68, -0.5798
5.69, -0.5788
5.70, -0.5779
5.71, -0.5769
5.72, -0.5759
5.73, -0.5749
5.74, -0.5738
5.75, -0.5728
5.76, -0.5717
5.77, -0.5706
5.78, -0.5695
5.79, -0.5683
5.80, -0.5672
5.81, -0.5660
5.82, -0.5648
5.83, -0.5635
5.84, -0.5623
5.85, -0.5610
5.86, -0.5597
5.87, -0.5584
5.88, -0.5571
5.89, -0.5558
5.90, -0.5544
5.91, -0.5530
5.92, -0.5516
5.93, -0.5502
5.94, -0.5487
5.95, -0.5473
5.96, -0.5458
5.97, -0.5443
5.98, -0.5427
5.99, -0.5412
6.00, -0.5396
6.01, -0.5381
6.02, -0.5365
6.03, -0.5348
6.04, -0.5332
6.05, -0.5315
6.06, -0.5298
6.07, -0.5282
6.08, -0.5264
6.09, -0.5247
6.10, -0.5229
6.11, -0.5212
6.12, -0.5194
6.13, -0.5176
6.14, -0.5157
6.15, -0.5139
6.16, -0.5120
6.17, -0.5101
6.18, -0.5082
6.19, -0.5063
6.20, -0.5044
6.21, -0.5024
6.22, -0.5004
6.23, -0.4984
6.24, -0.4964
6.25, -0.4944
6.26, -0.4923
6.27, -0.4903
6.28, -0.4882
6.29, -0.4861
