Thread, Chamada, T(k), Jitter(k)
Simulacao, 1, 1733811605.999891, 1733811605.989891
Simulacao, 2, 0.010175, 0.000175
Simulacao, 3, 0.015944, 0.005944
Simulacao, 4, 0.010214, 0.000214
Simulacao, 5, 0.010161, 0.000161
Simulacao, 6, 0.010497, 0.000497
Simulacao, 7, 0.010378, 0.000378
Simulacao, 8, 0.010431, 0.000431
Simulacao, 9, 0.010477, 0.000477
Simulacao, 10, 0.010464, 0.000464
Simulacao, 11, 0.010244, 0.000244
Simulacao, 12, 0.010372, 0.000372
Simulacao, 13, 0.010484, 0.000484
Simulacao, 14, 0.010409, 0.000409
Simulacao, 15, 0.010400, 0.000400
Simulacao, 16, 0.010420, 0.000420
Simulacao, 17, 0.010442, 0.000442
Simulacao, 18, 0.010485, 0.000485
Simulacao, 19, 0.010481, 0.000481
Simulacao, 20, 0.010406, 0.000406
Simulacao, 21, 0.010177, 0.000177
Simulacao, 22, 0.010483, 0.000483
Simulacao, 23, 0.010197, 0.000197
Simulacao, 24, 0.010417, 0.000417
Simulacao, 25, 0.010379, 0.000379
Simulacao, 26, 0.010296, 0.000296
Simulacao, 27, 0.010163, 0.000163
Simulacao, 28, 0.010147, 0.000147
Simulacao, 29, 0.010372, 0.000372
Simulacao, 30, 0.010296, 0.000296
Simulacao, 31, 0.010425, 0.000425
Simulacao, 32, 0.010471, 0.000471
Simulacao, 33, 0.010273, 0.000273
Simulacao, 34, 0.010459, 0.000459
Simulacao, 35, 0.010439, 0.000439
Simulacao, 36, 0.010482, 0.000482
Simulacao, 37, 0.010387, 0.000387
Simulacao, 38, 0.010309, 0.000309
Simulacao, 39, 0.010482, 0.000482
Simulacao, 40, 0.010480, 0.000480
Simulacao, 41, 0.010266, 0.000266
Simulacao, 42, 0.010378, 0.000378
Simulacao, 43, 0.010523, 0.000523
Simulacao, 44, 0.010267, 0.000267
Simulacao, 45, 0.010396, 0.000396
Simulacao, 46, 0.010462, 0.000462
Simulacao, 47, 0.010247, 0.000247
Simulacao, 48, 0.010208, 0.000208
Simulacao, 49, 0.010480, 0.000480
Simulacao, 50, 0.010174, 0.000174
Simulacao, 51, 0.010283, 0.000283
Simulacao, 52, 0.010439, 0.000439
Simulacao, 53, 0.010195, 0.000195
Simulacao, 54, 0.010415, 0.000415
Simulacao, 55, 0.010130, 0.000130
Simulacao, 56, 0.010139, 0.000139
Simulacao, 57, 0.010137, 0.000137
Simulacao, 58, 0.010382, 0.000382
Simulacao, 59, 0.010417, 0.000417
Simulacao, 60, 0.010184, 0.000184
Simulacao, 61, 0.010453, 0.000453
Simulacao, 62, 0.010335, 0.000335
Simulacao, 63, 0.010400, 0.000400
Simulacao, 64, 0.010462, 0.000462
Simulacao, 65, 0.010196, 0.000196
Simulacao, 66, 0.010465, 0.000465
