Tempo, Posicao X, Posicao Y, Orientacao
0.000000, 0.010000, 0.000000, 0.000000
0.030000, 0.030000, 0.000100, 0.020000
0.060000, 0.049993, 0.000600, 0.040000
0.090000, 0.079955, 0.002099, 0.070000
0.120000, 0.109858, 0.004497, 0.100000
0.150000, 0.139675, 0.007790, 0.130000
0.180000, 0.169381, 0.011976, 0.160000
0.210000, 0.198947, 0.017051, 0.190000
0.240000, 0.228348, 0.023011, 0.220000
0.270000, 0.257557, 0.029850, 0.250000
0.300000, 0.286548, 0.037562, 0.280000
0.330000, 0.315294, 0.046141, 0.310000
0.360000, 0.343771, 0.055577, 0.340000
0.390000, 0.371951, 0.065864, 0.370000
0.420000, 0.399810, 0.076991, 0.400000
0.450000, 0.427322, 0.088949, 0.430000
0.480000, 0.454464, 0.101727, 0.460000
0.510000, 0.481210, 0.115313, 0.490000
0.540000, 0.507537, 0.129695, 0.520000
0.570000, 0.533420, 0.144861, 0.550000
0.600000, 0.558837, 0.160796, 0.580000
0.630000, 0.583764, 0.177486, 0.610000
0.660000, 0.600100, 0.189025, 0.630000
0.690000, 0.624162, 0.206940, 0.660000
0.720000, 0.647676, 0.225569, 0.690000
0.750000, 0.670620, 0.244895, 0.720000
0.780000, 0.692975, 0.264901, 0.750000
0.810000, 0.714719, 0.285568, 0.780000
0.840000, 0.735834, 0.306878, 0.810000
0.870000, 0.756300, 0.328811, 0.840000
0.900000, 0.776098, 0.351349, 0.870000
0.930000, 0.795212, 0.374470, 0.900000
0.960000, 0.813624, 0.398155, 0.930000
0.990000, 0.831317, 0.422381, 0.960000
1.020000, 0.848276, 0.447126, 0.990000
1.050000, 0.864484, 0.472370, 1.020000
1.080000, 0.879928, 0.498088, 1.050000
1.110000, 0.894594, 0.524257, 1.080000
1.140000, 0.908468, 0.550855, 1.110000
1.170000, 0.917271, 0.568813, 1.130000
1.200000, 0.929799, 0.596071, 1.160000
1.230000, 0.941503, 0.623693, 1.190000
1.260000, 0.952373, 0.651653, 1.220000
1.290000, 0.962400, 0.679927, 1.250000
1.320000, 0.971574, 0.708489, 1.280000
1.350000, 0.979888, 0.737313, 1.310000
1.380000, 0.987333, 0.766373, 1.340000
1.410000, 0.993903, 0.795644, 1.370000
1.440000, 0.999592, 0.825099, 1.400000
1.470000, 1.004395, 0.854711, 1.430000
1.500000, 1.008307, 0.884453, 1.460000
1.530000, 1.011326, 0.914300, 1.490000
1.560000, 1.013448, 0.944224, 1.520000
1.590000, 1.014671, 0.974198, 1.550000
1.620000, 1.014995, 1.004195, 1.580000
1.650000, 1.014419, 1.034189, 1.610000
1.680000, 1.012944, 1.064152, 1.640000
1.710000, 1.010570, 1.094056, 1.670000
1.740000, 1.008490, 1.113948, 1.690000
1.770000, 1.004625, 1.143697, 1.720000
1.800000, 0.999869, 1.173316, 1.750000
1.830000, 0.994227, 1.202780, 1.780000
1.860000, 0.987704, 1.232061, 1.810000
1.890000, 0.980305, 1.261133, 1.840000
1.920000, 0.972037, 1.289971, 1.870000
1.950000, 0.962909, 1.318547, 1.900000
